"","Date_sold","Sell_price_EU","Online_since","Start_price_EU","Likes","Designer","Model","Condition","Material","Color","Location","P_Width_cm","P_Height_cm","P_Depth_cm","SW_Dustbag","SW_Original_box","SW_Original_papers","SW_Card_or_certificate","Seller_name","ST_Expert_seller","ST_Professional_seller","ST_Trusted_seller","ST_Fashion_activist","ST_Concierge_service","Reference","Link"
"7425",2020-06-29,638.06,2020-05-17,820,37,"Louis Vuitton","Croissant","Good condition","Cloth","Brown","France",26,15,5,0,0,0,0,"feijie",1,0,0,1,0,"10358292","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-croissant-louis-vuitton-handbag-10358292.shtml"
"7426",2020-05-16,688.21,2020-05-09,638.42,30,"Louis Vuitton","Audra","Good condition","Cloth","White","Ireland",0,0,0,0,0,0,0,"brandcoparis",0,1,0,0,0,"10284340","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/white-cloth-audra-louis-vuitton-handbag-10284340.shtml"
"7427",2020-08-25,629.77,2019-03-25,638.42,25,"Louis Vuitton","Speedy","Good condition","Leather","Black","Japan",25,19,15,0,0,0,0,"jay's shop",0,1,1,0,0,"7213428","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-speedy-louis-vuitton-handbag-7213428.shtml"
"7428",2020-08-28,638.67,2015-10-02,850,64,"Louis Vuitton","Papillon","Good condition","Leather","Other","Belgium",27,14,0,1,0,0,0,"celine",0,0,0,0,0,"1931465","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/leather-butterfly-louis-vuitton-1931465.shtml"
"7429",2020-09-22,639,2020-06-05,689,2,"Louis Vuitton","Reporter","Good condition","Cloth","Brown","France",0,0,0,0,0,0,0,"the brand collector",0,1,0,0,0,"10597955","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-reporter-louis-vuitton-handbag-10597955.shtml"
"7430",2020-07-30,639.49,2020-07-27,890,19,"Louis Vuitton","Speedy Bandouli<U+00E8>re","Very good condition","Cloth","White","Austria",31,26,18,0,0,0,0,"less",0,0,0,1,0,"11215921","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/white-cloth-speedy-bandouliere-louis-vuitton-handbag-11215921.shtml"
"7431",2020-09-09,640,2020-08-13,640,34,"Louis Vuitton","Plat","Very good condition","Cloth","Brown","France",38,36,10,0,0,0,0,"urielle",0,0,1,0,0,"11390352","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-plat-louis-vuitton-handbag-11390352.shtml"
"7432",2020-09-27,640,2020-08-12,1200,6,"Louis Vuitton","Manhattan","Very good condition","Cloth","Brown","Portugal",32,21,0,0,0,0,0,"m<U+00F3>nica",0,1,1,1,0,"11376874","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-manhattan-louis-vuitton-handbag-11376874.shtml"
"7433",2020-09-10,640,2020-08-04,700,31,"Louis Vuitton","Speedy","Very good condition","Cloth","Brown","Italy",30,21,17,1,0,0,0,"letizia",0,0,0,0,0,"11301508","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-11301508.shtml"
"7434",2020-08-15,640,2020-08-04,727,19,"Louis Vuitton","Unknown Model","Good condition","Cloth","Brown","Spain",20,13,9,0,0,0,0,"v.",1,0,0,1,0,"11295307","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11295307.shtml"
"7435",2020-08-05,640,2020-08-03,665,6,"Louis Vuitton","Delightful","Good condition","Cloth","Brown","France",36,30,14,0,0,0,0,"isabelle",0,0,1,0,0,"11293598","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-delightful-louis-vuitton-handbag-11293598.shtml"
"7436",2020-07-28,640,2020-07-23,700,4,"Louis Vuitton","Lockit","Fair condition","Leather","Silver","Italy",24,29,12,0,0,0,0,"agnese",0,0,0,1,0,"11179071","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/silver-leather-lockit-louis-vuitton-handbag-11179071.shtml"
