"Date_sold","Likes","Designer","Model","Price_sold","Condition","Material","Color","Width","Height","Depth","Location","Seller","Sold_with","Online_since","Reference","Seller_title","Address","Initial_price","Link"
NA,23,"Louis Vuitton ","Speedy ","200","Fair condition","Cloth ","Brown ","20 cm","30 cm","17 cm","Italy","beulah  ","","23/07/2020 ","11174616","",NA,350,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-11174616.shtml"
NA,9,"Louis Vuitton ","Cartouchière ","200","Fair condition","Cloth ","Brown ","30 cm","25 cm","8 cm","France","agathe ","","21/07/2020 ","11136046","",NA,380,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-cartouchiere-louis-vuitton-handbag-11136046.shtml"
NA,5,"Louis Vuitton ","Trocadéro ","200","Fair condition","Leather ","Black ","27 cm","17 cm",NA,"Portugal","Maria","","08/07/2020 ","11000717","",NA,200,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-trocadero-louis-vuitton-handbag-11000717.shtml"
NA,20,"Louis Vuitton ",NA,"200","Fair condition","Cloth ","Brown ","11 cm","6 cm",NA,"Spain","eugenia","","08/07/2020 ","10983027","",NA,200,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10983027.shtml"
NA,53,"Louis Vuitton ","Speedy ","200","Fair condition","Cloth ","Multicolour ","25 cm","19 cm","15 cm","Italy","letizia","","01/07/2020 ","10930051","",NA,390,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/multicolour-cloth-speedy-louis-vuitton-handbag-10930051.shtml"
NA,15,"Louis Vuitton ","Noé ","200","Good condition","Leather ","Blue ","25 cm","27 cm","19 cm","France","Coralie","","30/06/2020 ","10903419","",NA,280,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-leather-noe-louis-vuitton-handbag-10903419.shtml"
NA,4,"Louis Vuitton ",NA,"200","Good condition","Cloth ","Brown ","26 cm","20 cm","17 cm","France","Coralie","","29/06/2020 ","10895922","",NA,250,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10895922.shtml"
NA,14,"Louis Vuitton ","Speedy ","200","Fair condition","Cloth ","Brown ","35 cm","26 cm","19 cm","Italy","andrea","","23/06/2020 ","10752206","",NA,400,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-10752206.shtml"
NA,19,"Louis Vuitton ",NA,"200","Good condition","Patent leather ","Beige ","22 cm","18 cm","10 cm","Spain","jesus","","21/06/2020 ","10803260","",NA,245,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-louis-vuitton-handbag-10803260.shtml"
NA,9,"Louis Vuitton ","Salsa ","200","Very good condition","Cloth ","Brown ","23 cm","25 cm","3 cm","Italy","luisa","","17/06/2020 ","10760372","",NA,200,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-salsa-louis-vuitton-handbag-10760372.shtml"
NA,50,"Louis Vuitton ","Speedy ","200","Fair condition","Cloth ","Brown ","30 cm","21 cm","17 cm","Italy","serena","","12/06/2020 ","10686783","",NA,243,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-10686783.shtml"
NA,23,"Louis Vuitton ","Noé ","200","Fair condition","Cloth ","Brown ","25.5 cm","34 cm","19 cm","France","Vestiaire Collective","","09/06/2020 ","10649006","Professional seller",NA,200,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-10649006.shtml"
NA,13,"Louis Vuitton ","Salsa ","200","Good condition","Cloth ","Brown ","31 cm","36 cm","3 cm","Italy","Inis","","09/06/2020 ","10634565","",NA,550,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-salsa-louis-vuitton-handbag-10634565.shtml"
NA,16,"Louis Vuitton ","Lucile  ","200","Fair condition","Denim - Jeans ","Burgundy ",NA,NA,NA,"Germany","boutiquebonar","","08/06/2020 ","10643577","Professional seller",NA,295,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-denim-jeans-lucile-louis-vuitton-handbag-10643577.shtml"
NA,5,"Louis Vuitton ","Antigua ","200","Good condition","Cloth ","Beige ","32 cm","22 cm",NA,"France","tiavina","","06/06/2020 ","10608888","",NA,450,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-cloth-antigua-louis-vuitton-handbag-10608888.shtml"
NA,3,"Louis Vuitton ","Dhanura ","200","Good condition","Leather ","Black ","39 cm","19 cm","13 cm","Italy","ivana","","05/06/2020 ","10603593","",NA,250,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-dhanura-louis-vuitton-handbag-10603593.shtml"
NA,29,"Louis Vuitton ","Ellipse ","200","Fair condition","Cloth ","Brown ","29 cm","26 cm","6,5 cm","France"," ","","02/06/2020 ","10555724","",NA,250,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-ellipse-louis-vuitton-handbag-10555724.shtml"
NA,2,"Louis Vuitton ","Stresa ","200","Fair condition","Cloth ","Brown ","44 cm","27 cm","17 cm","Italy","Giada ","","23/05/2020 ","10444929","",NA,250,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-stresa-louis-vuitton-handbag-10444929.shtml"
NA,6,"Louis Vuitton ","Alma ","200","Fair condition","Cloth ","Brown ","30 cm","24 cm","16 cm","Luxembourg","kaoutar","","19/05/2020 ","10411217","",NA,200,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-alma-louis-vuitton-handbag-10411217.shtml"
NA,11,"Louis Vuitton ","Reporter ","200","Fair condition","Cloth ","Brown ","30 cm","20 cm","13 cm","Italy","paola","","19/05/2020 ","10400151","Professional seller",NA,350,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-reporter-louis-vuitton-handbag-10400151.shtml"
NA,11,"Louis Vuitton ","Boulogne ","200","Fair condition","Cloth ","Brown ","31 cm","28 cm",NA,"Spain","javier","","18/05/2020 ","10382934","",NA,249,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-boulogne-louis-vuitton-handbag-10382934.shtml"
NA,25,"Louis Vuitton ","Mahina ","200","Fair condition","Cloth ","Grey ","40 cm","30 cm","10 cm","Italy","Elena ","","17/05/2020 ","10362073","",NA,320,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/grey-cloth-mahina-louis-vuitton-handbag-10362073.shtml"
NA,8,"Louis Vuitton ","Wilshire ","200","Good condition","Patent leather ","Bordeaux ","35 cm","26 cm","12 cm","Italy","Alessandra","Dustbag ,Original box","13/05/2020 ","10331758","",NA,245,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/bordeaux-patent-leather-wilshire-louis-vuitton-handbag-10331758.shtml"
NA,6,"Louis Vuitton ","Neverfull ","200","Fair condition","Cloth ","Brown ","33 cm","40 cm","20 cm","Italy","chiara","","12/05/2020 ","10309945","",NA,200,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-neverfull-louis-vuitton-handbag-10309945.shtml"
NA,21,"Louis Vuitton ","Saint Cloud vintage ","200","Fair condition","Cloth ","Brown ","22 cm","24 cm","7 cm","Denmark"," Elina","","08/05/2020 ","10267881","",NA,200,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-saint-cloud-vintage-louis-vuitton-handbag-10267881.shtml"
NA,7,"Louis Vuitton ","Boulogne ","200","Good condition","Cloth ","Brown ","40.6 cm","30.5 cm",NA,"Ireland","Alison","","30/04/2020 ","10153905","",NA,450,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-boulogne-louis-vuitton-handbag-10153905.shtml"
NA,32,"Louis Vuitton ","Reporter ","200","Fair condition","Cloth ","Other ",NA,NA,NA,"Italy","Lalla","","22/02/2020 ","9511603","",NA,250,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/cloth-reporter-louis-vuitton-handbag-9511603.shtml"
NA,9,"Louis Vuitton ","Bucket  ","200","Fair condition","Leather ","Brown ","24 cm","26 cm",NA,"France","Khadija","","10/01/2020 ","9147875","",NA,345,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-bucket-louis-vuitton-handbag-9147875.shtml"
NA,31,"Louis Vuitton ","Saint-Germain Vintage  ","200","Fair condition","Cloth ","Brown ","20 cm","26 cm","7 cm","Italy","ALVARO","","14/11/2019 ","8693513","",NA,312,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-saint-germain-vintage-louis-vuitton-handbag-8693513.shtml"
NA,28,"Louis Vuitton ","Josephine  ","200","Fair condition","Cloth ","Blue ","36 cm","20 cm","14 cm","Spain","javier","","29/10/2019 ","8565511","",NA,250,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-cloth-josephine-louis-vuitton-handbag-8565511.shtml"
NA,105,"Louis Vuitton ","Wilshire ","200","Very good condition","Patent leather ","Orange ","32 cm","18 cm","12 cm","Cyprus","Valeriia","Dustbag","31/08/2019 ","8123819","",NA,400,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/orange-patent-leather-wilshire-louis-vuitton-handbag-8123819.shtml"
NA,27,"Louis Vuitton ","Speedy ","200","Fair condition","Cloth ","Other ","30 cm","21 cm","17 cm","Italy","Francesca","","01/06/2019 ","7615447","",NA,400,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/cloth-speedy-louis-vuitton-handbag-7615447.shtml"
NA,7,"Louis Vuitton ",NA,"200","Good condition","Leather ","Ecru ","33 cm","19 cm","15 cm","Spain","kewaybags","","01/02/2019 ","6944131","Professional seller",NA,500,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/ecru-leather-louis-vuitton-handbag-6944131.shtml"
NA,46,"Louis Vuitton ",NA,"200","Very good condition","Patent leather ","Burgundy ","34 cm","17,5 cm","11 cm","Italy","monica","","24/01/2019 ","6909752","",NA,650,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-patent-leather-louis-vuitton-handbag-6909752.shtml"
NA,67,"Louis Vuitton ",NA,"200","Fair condition","Leather ","Blue ","26 cm","29 cm","16 cm","Italy","cornelia","Dustbag","22/10/2016 ","3128078","",NA,420,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-leather-louis-vuitton-handbag-3128078.shtml"
NA,31,"Louis Vuitton ","Saint Cloud vintage ","200.22","Fair condition","Cloth ","Brown ","25.4 cm","20.3 cm","7.6 cm","United Kingdom","kayleigh","","12/09/2020 ","11753335","",NA,261.65,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-saint-cloud-vintage-louis-vuitton-handbag-11753335.shtml"
NA,97,"Louis Vuitton ","Papillon ","200.97","Good condition","Cloth ","Brown ","15 cm","7 cm","6 cm","Spain","kewaybags","","05/06/2020 ","10600447","Professional seller",NA,350,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-10600447.shtml"
NA,8,"Louis Vuitton ","Jeune fille  ","201","Good condition","Cloth ","Brown ","26 cm","20 cm","17 cm","France","dounia","","24/09/2020 ","11924235","",NA,290,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-jeune-fille-louis-vuitton-handbag-11924235.shtml"
NA,26,"Louis Vuitton ",NA,"201","Very good condition","Leather ","Pink ",NA,NA,NA,"Germany","viteenvogue","","06/12/2019 ","8895007","Professional seller",NA,669,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/pink-leather-louis-vuitton-handbag-8895007.shtml"
NA,20,"Louis Vuitton ",NA,"201.13","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","Brand street tokyo","","19/06/2020 ","10792463","Professional seller",NA,262.41,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10792463.shtml"
NA,1,"Louis Vuitton ","Houston ","201.57","Very good condition","Patent leather ","Beige ","30 cm","26 cm","15 cm","Vestiaire Collective Paris","francesksca","","17/09/2020 ","11826807","",NA,225,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-houston-louis-vuitton-handbag-11826807.shtml"
NA,11,"Louis Vuitton ","Ipanema ","201.65","Good condition","Cloth ","Beige ",NA,NA,NA,"Japan","elady","","06/05/2020 ","10231098","Professional seller",NA,201.65,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-cloth-ipanema-louis-vuitton-handbag-10231098.shtml"
NA,23,"Louis Vuitton ","Houston ","201.97","Good condition","Leather ","Green ","29.5 cm","25.5 cm","14.5 cm","Sweden","maria ","","07/06/2020 ","10621728","",NA,346.08,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/green-leather-houston-louis-vuitton-handbag-10621728.shtml"
NA,25,"Louis Vuitton ","Catalina ","202","Good condition","Patent leather ","Yellow ",NA,NA,NA,"France","the brand collector","","06/10/2020 ","12106838","Professional seller",NA,215,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-patent-leather-catalina-louis-vuitton-handbag-12106838.shtml"
NA,8,"Louis Vuitton ","Speedy ","202.23","Fair condition","Cloth ","Brown ","15 cm","11 cm","7 cm","Hong Kong","komehyo","","08/06/2020 ","10637683","Professional seller",NA,202.23,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-10637683.shtml"
NA,3,"Louis Vuitton ","Noé ","202.53","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","allu","","29/09/2020 ","12008173","Professional seller",NA,202.53,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-12008173.shtml"
NA,30,"Louis Vuitton ","Amazon ","202.53","Fair condition","Cloth ","Brown ","15.2 cm","15.2 cm","15.2 cm","United States","cassidy","","25/09/2020 ","11957027","",NA,291.18,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-amazon-louis-vuitton-handbag-11957027.shtml"
NA,29,"Louis Vuitton ","Trocadéro ","202.53","Fair condition","Leather ","Black ",NA,NA,NA,"Japan","luxe brand cerisier","","14/06/2020 ","10706975","Professional seller",NA,202.53,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-trocadero-louis-vuitton-handbag-10706975.shtml"
NA,26,"Louis Vuitton ","Alma ","202.53","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","14/06/2020 ","10706841","Professional seller",NA,202.53,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-alma-louis-vuitton-handbag-10706841.shtml"
NA,0,"Louis Vuitton ","Looping ","202.53","Good condition","Cloth ","Brown ","27.9 cm","31 cm",NA,"United Kingdom","eplanet","","09/06/2020 ","10649866","Professional seller",NA,202.53,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-looping-louis-vuitton-handbag-10649866.shtml"
NA,2,"Louis Vuitton ",NA,"202.53","Good condition","Leather ","Beige ",NA,NA,NA,"Japan","luxe brand cerisier","","21/05/2020 ","10437577","Professional seller",NA,202.53,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-leather-louis-vuitton-handbag-10437577.shtml"
NA,68,"Louis Vuitton ","Papillon ","202.53","Good condition","Cloth ","Brown ",NA,NA,NA,"Japan","reclo","","05/05/2020 ","10225610","Professional seller",NA,246.56,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-10225610.shtml"
NA,125,"Louis Vuitton ","Saumur ","202.53","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","06/04/2020 ","9886873","Professional seller",NA,202.53,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-saumur-louis-vuitton-handbag-9886873.shtml"
NA,67,"Louis Vuitton ","Speedy ","202.53","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","24/03/2020 ","9779537","Professional seller",NA,228.95,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-9779537.shtml"
NA,15,"Louis Vuitton ",NA,"202.53","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","06/02/2020 ","9378261","Professional seller",NA,264.18,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-9378261.shtml"
NA,52,"Louis Vuitton ",NA,"202.53","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","28/01/2020 ","9294322","Professional seller",NA,290.59,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-9294322.shtml"
NA,33,"Louis Vuitton ",NA,"202.53","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","09/01/2020 ","9131634","Professional seller",NA,202.53,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-9131634.shtml"
NA,83,"Louis Vuitton ","Papillon ","202.53","Good condition","Cloth ","Brown ",NA,NA,NA,"United States","Cashinmybag","","02/01/2020 ","9082506","Professional seller",NA,317.01,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-9082506.shtml"
NA,64,"Louis Vuitton ","Houston ","202.53","Fair condition","Patent leather ","Red ",NA,NA,NA,"Japan","luxe brand cerisier","","28/12/2019 ","9048632","Professional seller",NA,281.79,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/red-patent-leather-houston-louis-vuitton-handbag-9048632.shtml"
NA,13,"Louis Vuitton ","Houston ","203","Very good condition","Patent leather ","Red ","14 cm","22 cm",NA,"Latvia","ilya","","09/09/2020 ","11717891","",NA,500,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/red-patent-leather-houston-louis-vuitton-handbag-11717891.shtml"
NA,34,"Louis Vuitton ",NA,"204","Good condition","Cloth ","Burgundy ","35 cm","25 cm","14 cm","Italy","DANIELE","","03/08/2020 ","11298775","",NA,204,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-cloth-louis-vuitton-handbag-11298775.shtml"
NA,30,"Louis Vuitton ","Bucket  ","204.34","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","Brand street tokyo","","08/08/2020 ","11341605","Professional seller",NA,281.79,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-bucket-louis-vuitton-handbag-11341605.shtml"
NA,10,"Louis Vuitton ","Thompson ","204.5","Good condition","Patent leather ","Yellow ","28 cm","21 cm","7 cm","Hong Kong","allu","","08/10/2020 ","12140421","Professional seller",NA,204.5,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-patent-leather-thompson-louis-vuitton-handbag-12140421.shtml"
NA,41,"Louis Vuitton ","Josephine  ","204.5","Good condition","Cloth ","Khaki ","35 cm","23.5 cm","18 cm","Macau","Sok ","Dustbag","22/11/2019 ","8782591","",NA,204.5,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/khaki-cloth-josephine-louis-vuitton-handbag-8782591.shtml"
NA,42,"Louis Vuitton ","Luco ","204.81","Fair condition","Cloth ","Brown ","40 cm","30 cm",NA,"Denmark","Marie Louise","","09/09/2020 ","11730042","",NA,275.28,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-luco-louis-vuitton-handbag-11730042.shtml"
NA,13,"Louis Vuitton ","Danube ","204.83","Fair condition","Cloth ","Brown ","15 cm","21 cm",NA,"Denmark","Marine","","10/07/2020 ","11023940","",NA,261.51,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-danube-louis-vuitton-handbag-11023940.shtml"
NA,31,"Louis Vuitton ","Papillon ","205","Fair condition","Cloth ","Brown ","22 cm","11 cm","11 cm","United Kingdom","lisa","","18/07/2020 ","11099117","",NA,284.41,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-11099117.shtml"
NA,18,"Louis Vuitton ","Stanton ","205","Good condition","Patent leather ","Red ","30.5 cm","35.6 cm",NA,"Ireland","margaret","","12/05/2020 ","10297704","",NA,325,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/red-patent-leather-stanton-louis-vuitton-handbag-10297704.shtml"
NA,93,"Louis Vuitton ","Wilshire ","205","Fair condition","Patent leather ","Burgundy ","32 cm","17.5 cm","11 cm","France","Stephanie","","07/10/2019 ","8378945","",NA,500,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-patent-leather-wilshire-louis-vuitton-handbag-8378945.shtml"
NA,2,"Louis Vuitton ","Speedy ","206","Fair condition","Cloth ","Brown ","25 cm","20 cm","15 cm","Italy","anna","","02/10/2020 ","12051097","",NA,206,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-12051097.shtml"
NA,38,"Louis Vuitton ","Noé ","206.06","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","08/10/2020 ","12168221","Professional seller",NA,228.95,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-12168221.shtml"
NA,46,"Louis Vuitton ","Marly vintage ","206.77","Fair condition","Cloth ","Brown ","21 cm","12 cm","4 cm","Singapore","jan  ","","01/10/2020 ","12015255","",NA,387.04,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-marly-vintage-louis-vuitton-handbag-12015255.shtml"
NA,12,"Louis Vuitton ","Passy ","206.94","Fair condition","Leather ","Black ","37 cm","29 cm","10 cm","Russia","Anastasiya","","27/10/2020 ","12489518","",NA,246.56,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-passy-louis-vuitton-handbag-12489518.shtml"
NA,9,"Louis Vuitton ","Reporter ","207.45","Fair condition","Cloth ","Brown ","29 cm","23 cm","13.5 cm","Hong Kong","suki","","21/07/2020 ","11144485","",NA,338.56,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-reporter-louis-vuitton-handbag-11144485.shtml"
NA,4,"Louis Vuitton ","Alma ","207.47","Fair condition","Cloth ","Brown ",NA,NA,NA,"Vestiaire Collective Paris","Brand street tokyo","","07/08/2020 ","11341067","Professional seller",NA,262.41,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-alma-louis-vuitton-handbag-11341067.shtml"
NA,38,"Louis Vuitton ","Speedy ","207.48","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","Brand street tokyo","","14/08/2020 ","11407599","Professional seller",NA,228.95,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-11407599.shtml"
NA,6,"Louis Vuitton ","Saint Jacques ","207.48","Good condition","Leather ","Blue ","38 cm","24 cm","10 cm","Hong Kong","Ttina","","03/08/2020 ","11276553","",NA,227.22,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-leather-saint-jacques-louis-vuitton-handbag-11276553.shtml"
NA,5,"Louis Vuitton ","Saumur ","207.64","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","Brand street tokyo","","07/08/2020 ","11341070","Professional seller",NA,262.41,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-saumur-louis-vuitton-handbag-11341070.shtml"
NA,20,"Louis Vuitton ",NA,"207.73","Good condition","Cloth ","Other ","25 cm","25 cm",NA,"Hong Kong","naomi","","19/08/2020 ","11444948","",NA,397.64,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/cloth-louis-vuitton-handbag-11444948.shtml"
NA,6,"Louis Vuitton ","Noé ","207.82","Fair condition","Leather ","Green ",NA,NA,NA,"Japan","Brand street tokyo","","31/07/2020 ","11268854","Professional seller",NA,262.41,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/green-leather-noe-louis-vuitton-handbag-11268854.shtml"
NA,22,"Louis Vuitton ","Alma ","207.82","Fair condition","Leather ","Yellow ",NA,NA,NA,"Japan","Brand street tokyo","","05/06/2020 ","10603995","Professional seller",NA,262.41,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-leather-alma-louis-vuitton-handbag-10603995.shtml"
NA,10,"Louis Vuitton ","Blois  ","208","Fair condition","Cloth ","Other ","20 cm","20 cm","8 cm","Italy","gabriele","","10/07/2020 ","11029914","",NA,209,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/cloth-blois-louis-vuitton-handbag-11029914.shtml"
NA,7,"Louis Vuitton ","Papillon ","208.05","Good condition","Cloth ","Brown ","15 cm","7 cm","6 cm","Sweden","yosra","","23/08/2020 ","11493271","",NA,208.05,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-11493271.shtml"
NA,44,"Louis Vuitton ","Noé ","208.17","Fair condition","Cloth ","Brown ","25.4 cm","33 cm","17.8 cm","Malaysia","Takiwatanga","","23/10/2020 ","12403189","",NA,286.19,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-12403189.shtml"
NA,10,"Louis Vuitton ","Petit Noé trunk ","208.9","Fair condition","Leather ","Blue ",NA,NA,NA,"Japan","Brand street tokyo","","19/06/2020 ","10793229","Professional seller",NA,246.56,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-leather-petit-noe-trunk-louis-vuitton-handbag-10793229.shtml"
NA,27,"Louis Vuitton ","Noé ","209","Fair condition","Cloth ","Brown ",NA,NA,NA,"France","ks","","08/10/2020 ","12153188","",NA,209,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-12153188.shtml"
NA,22,"Louis Vuitton ","Noé ","209","Fair condition","Cloth ","Brown ",NA,NA,NA,"France","ks","","14/09/2020 ","11799489","",NA,209,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-11799489.shtml"
NA,11,"Louis Vuitton ","Trocadéro ","209","Fair condition","Cloth ","Brown ","28 cm","18.5 cm","7 cm","France","ks","","21/08/2020 ","11481404","",NA,209,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-trocadero-louis-vuitton-handbag-11481404.shtml"
NA,17,"Louis Vuitton ",NA,"209","Fair condition","Cloth ","Brown ","22 cm","18.5 cm","7 cm","France","ks","","10/08/2020 ","11366935","",NA,209,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11366935.shtml"
NA,29,"Louis Vuitton ","Noé ","209.02","Fair condition","Cloth ","Brown ","24 cm","27 cm","18 cm","Hong Kong","Yi","","23/07/2020 ","11169244","",NA,284.03,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-11169244.shtml"
NA,15,"Louis Vuitton ",NA,"209.77","Fair condition","Cloth ","Brown ","31 cm","12 cm","11.5 cm","United Kingdom","Cheryl","","31/10/2020 ","12566636","",NA,209.77,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12566636.shtml"
