"Date_sold","Likes","Designer","Model","Price_sold","Condition","Material","Color","Width","Height","Depth","Location","Seller","Sold_with","Online_since","Reference","Seller_title","Address","Initial_price","Link","Current_price"
NA,237,"Louis Vuitton ","Houston ","93.61","Fair condition","Patent leather ","Yellow ","63.5 cm","73.7 cm","36.8 cm","Saudi Arabia","aïsha","","08/12/2019 ","8909013","Professional seller",NA,105.67,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-patent-leather-houston-louis-vuitton-handbag-8909013.shtml",93.61
NA,14,"Louis Vuitton ","Houston ","95","Very good condition","Patent leather ","Gold ",NA,NA,NA,"France","the brand collector","","29/09/2020 ","11779018","Professional seller",NA,95,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/gold-patent-leather-houston-louis-vuitton-handbag-11779018.shtml",95
NA,10,"Louis Vuitton ",NA,"95.37","Fair condition","Patent leather ","Beige ","17 cm","19 cm","5.5 cm","United States","heejin","","18/05/2020 ","10394370","",NA,95.37,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-louis-vuitton-handbag-10394370.shtml",95.37
NA,17,"Louis Vuitton ",NA,"95.4","Fair condition","Patent leather ","Beige ","17 cm","19 cm","5.5 cm","Hong Kong","Mo ","","03/05/2020 ","10182602","",NA,113.61,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-louis-vuitton-handbag-10182602.shtml",95.4
NA,17,"Louis Vuitton ","Neverfull ","96.86","Never worn","Cloth ","Brown ","30.5 cm","27.9 cm","15.2 cm","United States","Princess","Dustbag ,Original box","02/07/2020 ","10933822","",NA,96.86,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-neverfull-louis-vuitton-handbag-10933822.shtml",96.86
NA,32,"Louis Vuitton ","Houston ","98.56","Fair condition","Patent leather ","Gold ","30 cm","24.9 cm","14 cm","United Kingdom","e","","28/09/2020 ","11976294","",NA,113.76,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/gold-patent-leather-houston-louis-vuitton-handbag-11976294.shtml",98.56
NA,1,"Louis Vuitton ",NA,"99","Fair condition","Cloth ","Brown ","11 cm","14 cm","3 cm","France","ks","","16/10/2020 ","12291679","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12291679.shtml",99
NA,12,"Louis Vuitton ",NA,"99","Fair condition","Cloth ","Brown ","11 cm","14 cm",NA,"Italy","Camilla","","15/10/2020 ","12290279","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12290279.shtml",99
NA,58,"Louis Vuitton ",NA,"99","Fair condition","Cloth ","Brown ","22 cm","15 cm","5 cm","France","ks","","14/10/2020 ","12257650","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12257650.shtml",99
NA,1,"Louis Vuitton ",NA,"99","Fair condition","Cloth ","Brown ","11 cm","14 cm",NA,"France","ks","","10/10/2020 ","12184745","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12184745.shtml",99
