"Date_sold","Price_sold","Last_known_price","Initial_price","Likes","Designer","Model","Condition","Material","Color","Location","Seller","Sold_with","Online_since","Reference","Link","Seller_title","Width","Height","Depth"
"June 25, 2020","260",260,301,7,"Louis Vuitton ","Passy ","Good condition","Leather ","Red ","Germany","Andrea","Dustbag","22/06/2020 ","10821371","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/red-leather-passy-louis-vuitton-handbag-10821371.shtml","","39 cm","29 cm","14 cm"
"June 25, 2020","260",260,260,20,"Louis Vuitton ","No<U+00E9> ","Fair condition","Leather ","Yellow ","Germany","stephanie ","","21/06/2020 ","10809316","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-leather-noe-louis-vuitton-handbag-10809316.shtml","","26 cm","33 cm","19 cm"
"July 1, 2020","260",260,329,10,"Louis Vuitton ","Musette ","Fair condition","Cloth ","Brown ","Netherlands","Simone","","17/06/2020 ","10749934","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-musette-louis-vuitton-handbag-10749934.shtml","","21 cm","21 cm","2 cm"
"June 17, 2020","260",260,260,3,"Louis Vuitton ","Juliette  ","Fair condition","Cotton ","Burgundy ","Slovakia","tom","","17/06/2020 ","10742249","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-cotton-juliette-louis-vuitton-handbag-10742249.shtml","","23 cm","13 cm","5 cm"
"June 8, 2020","260",260,297,4,"Louis Vuitton ","Rosewood ","Good condition","Patent leather ","Black ","Luxembourg","natalia ","","08/06/2020 ","10631518","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-patent-leather-rosewood-louis-vuitton-handbag-10631518.shtml","","32 cm","16 cm","14 cm"
"August 12, 2020","260",260,350,15,"Louis Vuitton ",NA,"Good condition","Leather ","Red ","Germany","luxury","","07/06/2020 ","10622081","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/red-leather-louis-vuitton-handbag-10622081.shtml","","25 cm","36 cm","18 cm"
"May 22, 2020","260",260,260,16,"Louis Vuitton ","Saumur ","Good condition","Cloth ","Brown ","France","Nathalie","","22/05/2020 ","10435353","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-saumur-louis-vuitton-handbag-10435353.shtml","","35 cm","30 cm","25 cm"
"May 11, 2020","260",260,260,6,"Louis Vuitton ","Speedy ","Fair condition","Cloth ","Other ","Italy","Sara ","","11/05/2020 ","10293896","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/cloth-speedy-louis-vuitton-handbag-10293896.shtml","","30 cm","21 cm","17 cm"
"June 5, 2020","260",260,400,70,"Louis Vuitton ","No<U+00E9> ","Fair condition","Cloth ","Brown ","France","margot","","03/02/2020 ","9345025","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-9345025.shtml","","26 cm","2305 cm","18 cm"
"May 27, 2020","260",260,430,11,"Louis Vuitton ","Beverly ","Good condition","Cloth ","Brown ","Bulgaria","viara","","08/01/2020 ","9094091","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-beverly-louis-vuitton-handbag-9094091.shtml","","42 cm","19 cm","21 cm"
"September 22, 2020","256,53",260.8,409.54,18,"Louis Vuitton ","Palermo ","Fair condition","Cloth ","Brown ","United Kingdom","anis","","04/09/2020 ","11638213","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-palermo-louis-vuitton-handbag-11638213.shtml","",NA,NA,NA
"June 15, 2020","261",261,261,4,"Louis Vuitton ","Speedy ","Fair condition","Cloth ","Brown ","France","volaniaina","","15/06/2020 ","10720170","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-10720170.shtml","","30 cm","21 cm",NA
"June 2, 2020","262,47",261.23,295.78,26,"Louis Vuitton ","Thompson ","Good condition","Patent leather ","Yellow ","United Kingdom","laura","","23/04/2020 ","10075227","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-patent-leather-thompson-louis-vuitton-handbag-10075227.shtml","","25 cm","20.5 cm","5 cm"
"August 27, 2020","256,92",261.31,306.75,24,"Louis Vuitton ","No<U+00E9> ","Fair condition","Cloth ","Brown ","Hong Kong","Yi","","18/08/2020 ","11430272","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-11430272.shtml","","26 cm","34 cm","19 cm"
"October 8, 2020","259,21",261.31,318.11,190,"Louis Vuitton ","No<U+00E9> ","Good condition","Cloth ","Brown ","Hong Kong","kin ","","13/08/2020 ","11384889","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-11384889.shtml","","28 cm","24 cm","18 cm"
"July 4, 2020","270,67",261.31,261.31,10,"Louis Vuitton ","No<U+00E9> ","Fair condition","Cloth ","Other ","Hong Kong","yyt","","04/07/2020 ","10954702","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/cloth-noe-louis-vuitton-handbag-10954702.shtml","","26 cm","34 cm","19 cm"
"July 25, 2020","262,21",261.31,443.08,92,"Louis Vuitton ","Alma ","Good condition","Cloth ","Brown ","Hong Kong","chan","","03/06/2020 ","10574020","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-alma-louis-vuitton-handbag-10574020.shtml","","36 cm","24 cm","16 cm"
"June 8, 2020","268,48",261.31,329.47,103,"Louis Vuitton ","Speedy ","Good condition","Cloth ","Brown ","Hong Kong","Yi","","28/05/2020 ","10508646","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-10508646.shtml","","26 cm","22 cm","13 cm"
"May 18, 2020","281,68",261.31,329.47,16,"Louis Vuitton ","Papillon ","Good condition","Cloth ","Brown ","Hong Kong","eva","","14/05/2020 ","10336038","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-10336038.shtml","","27.5 cm","13.5 cm","13.5 cm"
"August 7, 2020","256,19",261.31,431.72,24,"Louis Vuitton ",NA,"Fair condition","Cotton ","Purple ","Hong Kong","Ccchan","","03/12/2019 ","8870988","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/purple-cotton-louis-vuitton-handbag-8870988.shtml","","39 cm","27 cm","16 cm"
"August 9, 2020","261,07",261.65,455.05,6,"Louis Vuitton ",NA,"Very good condition","Patent leather ","Pink ","United Kingdom","patricia","","31/07/2020 ","11258466","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/pink-patent-leather-louis-vuitton-handbag-11258466.shtml","","22.9 cm","17.8 cm",NA
"September 21, 2020","257,09",261.65,398.17,22,"Louis Vuitton ","Roxbury ","Fair condition","Patent leather ","Ecru ","United Kingdom","emma","","23/01/2020 ","9249891","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/ecru-patent-leather-roxbury-louis-vuitton-handbag-9249891.shtml","","10 cm","20 cm","17 cm"
"October 25, 2020","262,05",262.05,550,31,"Louis Vuitton ",NA,"Good condition","Cotton ","Khaki ","Spain","jun xia","","03/12/2019 ","8866222","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/khaki-cotton-louis-vuitton-handbag-8866222.shtml","","35 cm","25 cm","5 cm"
"September 7, 2020","257,98",262.38,681.67,8,"Louis Vuitton ","Br<U+00E9>a ","Very good condition","Leather ","Black ","Hong Kong","elaine","","19/08/2020 ","11440520","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-brea-louis-vuitton-handbag-11440520.shtml","","33 cm","25 cm","12.5 cm"
"October 14, 2020","258,64",262.41,262.41,27,"Louis Vuitton ","Papillon ","Fair condition","Cloth ","Brown ","Japan","Brand street tokyo","","04/09/2020 ","11663097","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-11663097.shtml","Professional seller",NA,NA,NA
"August 15, 2020","258,42",262.41,262.41,2,"Louis Vuitton ","Saumur ","Fair condition","Cloth ","Brown ","Japan","Brand street tokyo","","14/08/2020 ","11409466","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-saumur-louis-vuitton-handbag-11409466.shtml","Professional seller",NA,NA,NA
"October 27, 2020","260,88",262.77,422.42,41,"Louis Vuitton ","Papillon ","Good condition","Cloth ","Brown ","Australia","cora","","21/06/2020 ","10803150","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-10803150.shtml","","26 cm","13 cm",NA
"August 30, 2020","263",263,380,7,"Louis Vuitton ","Verseau  ","Good condition","Leather ","Yellow ","Vestiaire Collective Paris","flordeliza","","30/07/2020 ","11251430","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-leather-verseau-louis-vuitton-handbag-11251430.shtml","","26 cm","27 cm","11 cm"
"June 11, 2020","269,43",263.29,280.91,10,"Louis Vuitton ","Reade ","Very good condition","Patent leather ","Red ","United States","bagriculture","","30/05/2020 ","10519513","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/red-patent-leather-reade-louis-vuitton-handbag-10519513.shtml","Professional seller","10.2 cm","17.8 cm",NA
"June 6, 2020","270,50",263.29,263.29,51,"Louis Vuitton ","Speedy ","Fair condition","Cloth ","Blue ","United States","Ji","","18/05/2020 ","10382532","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-cloth-speedy-louis-vuitton-handbag-10382532.shtml","","27.2 cm","19.1 cm","14.2 cm"
"June 2, 2020","275,71",263.29,352.23,13,"Louis Vuitton ",NA,"Good condition","Leather ","Green ","United States","my galaxy solutions","","22/11/2019 ","8778101","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/green-leather-louis-vuitton-handbag-8778101.shtml","Professional seller","37.3 cm","24.9 cm",NA
"September 14, 2020","256,25",263.36,426.61,15,"Louis Vuitton ","Saint Jacques ","Very good condition","Leather ","Red ","United Kingdom","laura","","06/08/2020 ","11313397","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/red-leather-saint-jacques-louis-vuitton-handbag-11313397.shtml","","35 cm","24 cm","10 cm"
"July 29, 2020","264",264,264,1,"Louis Vuitton ","Galliera ","Fair condition","Cloth ","Brown ","Italy","natalya ","","28/07/2020 ","11224150","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-galliera-louis-vuitton-handbag-11224150.shtml","","38 cm","30 cm","12 cm"
"October 27, 2020","259,71",264.17,568.06,10,"Louis Vuitton ","Pont Neuf ","Good condition","Leather ","Black ","Hong Kong","jennifer ","Dustbag","24/07/2020 ","11183536","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-pont-neuf-louis-vuitton-handbag-11183536.shtml","","25 cm","23 cm","12 cm"
"May 17, 2020","284,77",264.17,326.97,13,"Louis Vuitton ","Summit  ","Good condition","Patent leather ","Burgundy ","Hong Kong","allu","","14/05/2020 ","10343801","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-patent-leather-summit-louis-vuitton-handbag-10343801.shtml","Professional seller","32 cm","24 cm","14 cm"
"September 22, 2020","259,49",264.18,403.31,34,"Louis Vuitton ","Salsa ","Very good condition","Cloth ","Camel ","United States","nataly","","10/04/2018 ","5523568","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/camel-cloth-salsa-louis-vuitton-handbag-5523568.shtml","",NA,NA,NA
"September 7, 2020","259,71",264.18,317.01,8,"Louis Vuitton ","Alma ","Fair condition","Cloth ","Brown ","Japan","Brand street tokyo","","05/09/2020 ","11665787","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-alma-louis-vuitton-handbag-11665787.shtml","Professional seller",NA,NA,NA
"August 31, 2020","258,19",264.18,264.18,15,"Louis Vuitton ","Papillon ","Good condition","Cloth ","Brown ","Japan","reclo","","27/08/2020 ","11552854","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-11552854.shtml","Professional seller",NA,NA,NA
"September 6, 2020","259,71",264.18,352.23,31,"Louis Vuitton ","Chantilly ","Very good condition","Cloth ","Brown ","United States","brie","","26/08/2020 ","11522443","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-chantilly-louis-vuitton-handbag-11522443.shtml","","19.1 cm","16.5 cm","5.1 cm"
"September 9, 2020","260,15",264.18,264.18,62,"Louis Vuitton ",NA,"Good condition","Cloth ","Brown ","United States","Cashinmybag","","12/08/2020 ","11384323","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11384323.shtml","Professional seller",NA,NA,NA
"August 4, 2020","261,04",264.18,264.18,32,"Louis Vuitton ","No<U+00E9> ","Fair condition","Cloth ","Brown ","Japan","luxe brand cerisier","","31/07/2020 ","11272571","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-11272571.shtml","Professional seller",NA,NA,NA
"September 25, 2020","263,72",264.18,366.32,36,"Louis Vuitton ","Trocad<U+00E9>ro ","Good condition","Cloth ","Brown ","United States","joicy ","","20/07/2020 ","11093733","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-trocadero-louis-vuitton-handbag-11093733.shtml","","22.9 cm","15.2 cm","6.4 cm"
"August 19, 2020","259,06",264.18,748.5,15,"Louis Vuitton ","Roxbury ","Good condition","Patent leather ","Burgundy ","Singapore","elanor ","","16/07/2020 ","11044831","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-patent-leather-roxbury-louis-vuitton-handbag-11044831.shtml","","31.8 cm","16.5 cm","12.7 cm"
"August 11, 2020","261,04",264.18,317.01,7,"Louis Vuitton ","Trouville ","Fair condition","Cloth ","Brown ","Japan","Brand street tokyo","","26/06/2020 ","10874201","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-trouville-louis-vuitton-handbag-10874201.shtml","Professional seller",NA,NA,NA
"June 22, 2020","275,04",264.18,347.83,11,"Louis Vuitton ",NA,"Fair condition","Cloth ","Brown ","United States","beatrice","Dustbag","21/06/2020 ","10808268","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10808268.shtml","","25.4 cm","17.8 cm","2.5 cm"
"June 19, 2020","273,33",264.18,264.18,26,"Louis Vuitton ","No<U+00E9> ","Good condition","Cloth ","Brown ","France","Vestiaire Collective","","19/06/2020 ","10787011","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-10787011.shtml","Professional seller",NA,NA,NA
"June 19, 2020","273,33",264.18,281.79,14,"Louis Vuitton ","Cartouchi<U+00E8>re ","Fair condition","Cloth ","Brown ","Japan","Brand street tokyo","","06/06/2020 ","10616039","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-cartouchiere-louis-vuitton-handbag-10616039.shtml","Professional seller",NA,NA,NA
"August 14, 2020","260,81",264.18,281.79,55,"Louis Vuitton ","Papillon ","Good condition","Cloth ","Brown ","Japan","reclo","","05/05/2020 ","10225542","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-10225542.shtml","Professional seller",NA,NA,NA
"August 26, 2020","260,81",264.18,352.23,30,"Louis Vuitton ","Speedy ","Fair condition","Cloth ","Brown ","United States","natalie","","05/04/2020 ","9863908","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-9863908.shtml","","30 cm","21.1 cm","17 cm"
"May 20, 2020","280,82",264.18,334.62,31,"Louis Vuitton ","Chantilly ","Fair condition","Cloth ","Brown ","Japan","luxe brand cerisier","","12/03/2020 ","9691315","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-chantilly-louis-vuitton-handbag-9691315.shtml","Professional seller",NA,NA,NA
"May 25, 2020","282,01",264.18,334.62,13,"Louis Vuitton ","Marly vintage ","Fair condition","Cloth ","Brown ","Japan","luxe brand cerisier","","12/03/2020 ","9696475","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-marly-vintage-louis-vuitton-handbag-9696475.shtml","Professional seller",NA,NA,NA
"May 10, 2020","283,59",264.18,286.19,3,"Louis Vuitton ","Papillon ","Good condition","Cloth ","Brown ","United States","emodaoutlet","","15/02/2020 ","9453029","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-9453029.shtml","Professional seller","30 cm","15 cm","15 cm"
"August 18, 2020","259,49",264.18,264.18,48,"Louis Vuitton ","Alma ","Fair condition","Cloth ","Brown ","United States","Cashinmybag","","05/02/2020 ","9358926","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-alma-louis-vuitton-handbag-9358926.shtml","Professional seller",NA,NA,NA
"July 1, 2020","273,33",264.18,264.18,102,"Louis Vuitton ","No<U+00E9> ","Fair condition","Cloth ","Brown ","Japan","luxe brand cerisier","","28/01/2020 ","9292922","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-9292922.shtml","Professional seller",NA,NA,NA
"July 4, 2020","273,58",264.18,369.85,20,"Louis Vuitton ","Geronimo ","Fair condition","Cloth ","Brown ","Japan","luxe brand cerisier","","17/12/2019 ","8983142","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-geronimo-louis-vuitton-handbag-8983142.shtml","Professional seller",NA,NA,NA
"October 7, 2020","262,37",264.18,286.19,31,"Louis Vuitton ","Boulogne ","Good condition","Cloth ","Brown ","Canada","Angela","","23/11/2019 ","8777053","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-boulogne-louis-vuitton-handbag-8777053.shtml","","27.9 cm","30.5 cm","10.2 cm"
"July 8, 2020","271,88",264.18,352.23,48,"Louis Vuitton ","Alma ","Fair condition","Cotton ","Brown ","Singapore","vanessa","","20/03/2019 ","7176472","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cotton-alma-louis-vuitton-handbag-7176472.shtml","","37 cm","14 cm","13 cm"
"October 29, 2020","265",265,265,13,"Louis Vuitton ","Blois  ","Good condition","Cloth ","Brown ","Italy","viola","","29/10/2020 ","12539410","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-blois-louis-vuitton-handbag-12539410.shtml","","25 cm","19 cm","11 cm"
"September 8, 2020","265",265,300,3,"Louis Vuitton ","Salsa ","Good condition","Cloth ","Brown ","France","delphine","","07/09/2020 ","11691550","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-salsa-louis-vuitton-handbag-11691550.shtml","","22 cm","24 cm","5 cm"
"July 2, 2020","265",265,360,5,"Louis Vuitton ","Wilshire ","Very good condition","Patent leather ","Red ","Italy","monica","","29/06/2020 ","10907290","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/red-patent-leather-wilshire-louis-vuitton-handbag-10907290.shtml","","30 cm","17 cm","11 cm"
"May 25, 2020","265",265,265,7,"Louis Vuitton ",NA,"Very good condition","Cloth ","Brown ","Luxembourg","marie-jeanne","","25/05/2020 ","10456234","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10456234.shtml","","28 cm","18 cm","9 cm"
"July 1, 2020","265",265,280,70,"Louis Vuitton ","Nile ","Fair condition","Cloth ","Brown ","Portugal","leticia ","","21/05/2020 ","10435001","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-nile-louis-vuitton-handbag-10435001.shtml","","28 cm","20 cm","12 cm"
"June 19, 2020","265",265,420,18,"Louis Vuitton ",NA,"Very good condition","Cloth ","Beige ","Spain","SONY","","11/05/2020 ","10289920","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-cloth-louis-vuitton-handbag-10289920.shtml","","33 cm","26 cm","16 cm"
"May 12, 2020","265",265,285,12,"Louis Vuitton ","Reade ","Very good condition","Patent leather ","Brown ","France","the brand collector","","09/05/2020 ","10271293","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-patent-leather-reade-louis-vuitton-handbag-10271293.shtml","Professional seller",NA,NA,NA
"May 7, 2020","265",265,350,14,"Louis Vuitton ",NA,"Good condition","Cloth ","Beige ","Germany","salih","","29/04/2020 ","10138881","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-cloth-louis-vuitton-handbag-10138881.shtml","","88.9 cm","76.2 cm",NA
"June 21, 2020","265",265,450,57,"Louis Vuitton ","Alma ","Fair condition","Leather ","Beige ","Spain","patrick","","21/01/2020 ","9230302","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-leather-alma-louis-vuitton-handbag-9230302.shtml","",NA,NA,NA
"October 27, 2020","266",266,266,6,"Louis Vuitton ","Papillon ","Good condition","Cloth ","Brown ","France","Vestiaire Collective","","27/10/2020 ","12492802","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-12492802.shtml","Professional seller","25.5 cm","13 cm","8 cm"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"August 25, 2020","266,67",266.67,280,133,"Louis Vuitton ",NA,"Very good condition","Leather ","Brown ","France","Nadia","","11/11/2009 ","1406","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-louis-vuitton-handbag-1406.shtml","",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"September 23, 2020","269",269,269,5,"Louis Vuitton ","Speedy ","Fair condition","Cloth ","Brown ","France","ks","Dustbag","23/09/2020 ","11916235","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-11916235.shtml","",NA,NA,NA
"September 7, 2020","269",269,269,11,"Louis Vuitton ","Speedy ","Fair condition","Cloth ","Brown ","France","ks","","06/09/2020 ","11691578","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-11691578.shtml","",NA,NA,NA
"September 9, 2020","269",269,269,50,"Louis Vuitton ","Speedy ","Fair condition","Cloth ","Brown ","France","ks","","05/09/2020 ","11665694","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-11665694.shtml","",NA,NA,NA
"September 5, 2020","269",269,269,35,"Louis Vuitton ","Speedy ","Fair condition","Cloth ","Brown ","France","ks","","02/09/2020 ","11621643","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-11621643.shtml","",NA,NA,NA
"August 11, 2020","269",269,269,6,"Louis Vuitton ","Speedy ","Fair condition","Cloth ","Brown ","France","ks","Dustbag","11/08/2020 ","11375958","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-11375958.shtml","",NA,NA,NA
"August 11, 2020","269",269,269,6,"Louis Vuitton ","Speedy ","Fair condition","Cloth ","Brown ","France","ks","Dustbag","10/08/2020 ","11369384","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-11369384.shtml","",NA,NA,NA
"July 25, 2020","269",269,269,7,"Louis Vuitton ",NA,"Good condition","Cloth ","Brown ","France","ks","Dustbag","25/07/2020 ","11199519","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11199519.shtml","","27 cm","18 cm","5 cm"
"July 23, 2020","269",269,269,15,"Louis Vuitton ","Speedy ","Fair condition","Cloth ","Brown ","France","ks","Dustbag","22/07/2020 ","11176132","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-11176132.shtml","",NA,NA,NA
"July 19, 2020","269",269,269,16,"Louis Vuitton ","Trocad<U+00E9>ro ","Fair condition","Cloth ","Brown ","Germany","isabelle","","18/07/2020 ","11115051","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-trocadero-louis-vuitton-handbag-11115051.shtml","","30 cm","20 cm","7 cm"
"July 18, 2020","269",269,269,31,"Louis Vuitton ","Speedy ","Fair condition","Cloth ","Brown ","France","ks","Dustbag","18/07/2020 ","11121722","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-11121722.shtml","",NA,NA,NA
"September 9, 2020","265,03",269.05,545.33,43,"Louis Vuitton ","Saint Jacques ","Very good condition","Leather ","Brown ","Hong Kong","suki","","02/04/2020 ","9857632","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-saint-jacques-louis-vuitton-handbag-9857632.shtml","","38 cm","24 cm","10 cm"
"August 25, 2020","269,17",269.17,375,24,"Louis Vuitton ","Cartouchi<U+00E8>re ","Good condition","Cloth ","Brown ","Netherlands","alexander","","05/05/2020 ","10226310","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-cartouchiere-louis-vuitton-handbag-10226310.shtml","","26 cm","21 cm","7.5 cm"
"October 16, 2020","267,16",269.46,299.4,12,"Louis Vuitton ","Chantilly ","Fair condition","Cloth ","Brown ","Japan","luxe brand cerisier","","08/10/2020 ","12166773","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-chantilly-louis-vuitton-handbag-12166773.shtml","Professional seller",NA,NA,NA
"September 8, 2020","264,91",269.46,299.4,51,"Louis Vuitton ",NA,"Good condition","Denim - Jeans ","Pink ","Japan","luxe brand cerisier","","21/07/2020 ","11160483","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/pink-denim-jeans-louis-vuitton-handbag-11160483.shtml","Professional seller",NA,NA,NA
