"Date_sold","Price_sold","Last_known_price","Initial_price","Likes","Designer","Model","Condition","Material","Color","Location","Seller","Sold_with","Online_since","Reference","Link","Seller_title","Width","Height","Depth"
"September 23, 2020","435.45",443.66,443.66,2,"Louis Vuitton ","Od<U+00E9>on ","Good condition","Cloth ","Brown ","United Kingdom","song  ","","22/09/2020 ","11899133","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-odeon-louis-vuitton-handbag-11899133.shtml","Fashion Activist","25.4 cm","27.9 cm","5.1 cm"
"September 5, 2020","447.65",443.67,443.67,5,"Louis Vuitton ","Speedy ","Good condition","Cloth ","Brown ","United Kingdom","Yura","","05/09/2020 ","11662257","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-11662257.shtml","Trusted Seller","35.6 cm","27.9 cm","20.3 cm"
"August 18, 2020","442.2",443.67,625.69,15,"Louis Vuitton ","Alma ","Fair condition","Cloth ","Multicolour ","United Kingdom","song  ","","05/08/2020 ","11307043","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/multicolour-cloth-alma-louis-vuitton-handbag-11307043.shtml","Fashion Activist","30 cm","22 cm","15 cm"
"May 17, 2020","450.48",443.67,568.81,32,"Louis Vuitton ","No<U+00E9> ","Very good condition","Leather ","Black ","United Kingdom","Lesley","Dustbag","03/05/2020 ","10185659","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-noe-louis-vuitton-handbag-10185659.shtml","Fashion Activist","39 cm","26 cm","27 cm"
"August 14, 2020","442.2",443.67,627.97,22,"Louis Vuitton ","Ribera ","Good condition","Cloth ","Brown ","United Kingdom","marta","","22/01/2020 ","9131450","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-ribera-louis-vuitton-handbag-9131450.shtml","Trusted Sellervia our Concierge Service","32 cm","20 cm","18 cm"
"August 12, 2020","440.15",443.95,624.86,2,"Louis Vuitton ",NA,"Very good condition","Leather ","Black ","Hong Kong","Enishi ","","20/07/2020 ","11115736","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-louis-vuitton-handbag-11115736.shtml","","30 cm","22 cm","2 cm"
"July 23, 2020","444",444,489,39,"Louis Vuitton ","Batignolles ","Good condition","Cloth ","Brown ","Italy","amy","","16/07/2020 ","11079244","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-batignolles-louis-vuitton-handbag-11079244.shtml","","37 cm","25 cm","12 cm"
"June 27, 2020","444",444,445,11,"Louis Vuitton ","Salsa ","Good condition","Cloth ","Brown ","France","Laetitia","","17/01/2020 ","9187374","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-salsa-louis-vuitton-handbag-9187374.shtml","Fashion Activist","30 cm","36 cm","5 cm"
"June 2, 2020","444.01",444.01,550,19,"Louis Vuitton ","Popincourt ","Very good condition","Cloth ","Brown ","Italy","claudia ","","03/01/2020 ","9085230","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-popincourt-louis-vuitton-handbag-9085230.shtml","Fashion Activist","29 cm","11 cm","14 cm"
"November 3, 2020","444.44",444.44,750,17,"Louis Vuitton ","Nolita ","Very good condition","Cloth ","Brown ","Belgium","chantal ","","04/09/2020 ","11647606","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-nolita-louis-vuitton-handbag-11647606.shtml","Expert Seller",NA,NA,NA
"August 12, 2020","440.75",444.54,484.32,19,"Louis Vuitton ","Neverfull ","Fair condition","Cloth ","Brown ","Germany","ekaterina ","Dustbag","12/08/2020 ","11377031","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-neverfull-louis-vuitton-handbag-11377031.shtml","","47 cm","28 cm",NA
"May 24, 2020","474.71",444.7,738.81,15,"Louis Vuitton ","Griet Mirage ","Good condition","Cloth ","Brown ","United States","emodaoutlet","","19/04/2019 ","7361137","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-griet-mirage-louis-vuitton-handbag-7361137.shtml","Expert SellerProfessional seller","36.8 cm","27.9 cm","13 cm"
"October 23, 2020","445",445,488,19,"Louis Vuitton ","Drouot  ","Good condition","Cloth ","Brown ","Italy","amy","","19/10/2020 ","12326606","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-drouot-louis-vuitton-handbag-12326606.shtml","","20 cm","22 cm","10 cm"
"October 12, 2020","445",445,445,15,"Louis Vuitton ","No<U+00E9> ","Good condition","Cloth ","Brown ","France","the brand collector","","12/10/2020 ","12223854","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-12223854.shtml","Professional seller",NA,NA,NA
"October 15, 2020","445",445,465,2,"Louis Vuitton ","Ellipse ","Good condition","Cloth ","Brown ","France","the brand collector","","11/10/2020 ","12185596","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-ellipse-louis-vuitton-handbag-12185596.shtml","Professional seller",NA,NA,NA
"October 3, 2020","445",445,445,5,"Louis Vuitton ","Od<U+00E9>on ","Very good condition","Cloth ","Multicolour ","Bulgaria","maria","","03/10/2020 ","12041873","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/multicolour-cloth-odeon-louis-vuitton-handbag-12041873.shtml","","30 cm","34 cm","8 cm"
"September 22, 2020","445",445,445,20,"Louis Vuitton ","No<U+00E9> ","Good condition","Cloth ","Brown ","France","the brand collector","","20/09/2020 ","11861381","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-11861381.shtml","Professional seller",NA,NA,NA
"October 6, 2020","445",445,455,24,"Louis Vuitton ","Ellipse ","Good condition","Cloth ","Brown ","France","laetitia ","","15/09/2020 ","11792842","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-ellipse-louis-vuitton-handbag-11792842.shtml","Trusted SellerFashion Activist","35 cm","25 cm","14 cm"
"September 17, 2020","445",445,445,7,"Louis Vuitton ","Speedy ","Good condition","Cloth ","Brown ","France","the brand collector","","13/09/2020 ","11765548","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-11765548.shtml","Professional seller",NA,NA,NA
