"Date_sold","Likes","Designer","Model","Price_sold","Condition","Material","Color","Width","Height","Depth","Location","Seller","Sold_with","Online_since","Reference"
"June 29, 2020",9,"APC","Demi-lune","214,71 €","Very good condition  More infos","Leather","Camel","24 cm","17 cm","8 cm","France","dorothee","","25/06/2020","10860366"
"April 29, 2020",39,"APC","Demi-lune","199 €","Never worn  More infos","Leather","Yellow","19 cm","16 cm","7,5 cm","Germany","Lisa-Maria","","27/04/2020","10133840"
"July 27, 2020",7,"APC","Genève","242,48 €","Good condition  More infos","Leather","Black","24 cm","18 cm","8 cm","Belgium","yi","Dustbag","26/07/2020","11214014"
"July 27, 2020",10,"APC",NA,"190 €","Very good condition  More infos","Leather","Camel","28 cm","21 cm","7 cm","France","Felicie","","24/07/2020","11195905"
"June 7, 2020",65,"APC","Demi-lune","178,40 €","Fair condition  More infos","Leather","Red","19,5 cm","15 cm","7,5 cm","Vestiaire Collective Paris","Vestiaire Collective Paris","","04/05/2020","10208971"
"June 30, 2020",4,"APC","Demi-lune","86 €","Good condition  More infos","Leather","Navy","24 cm","17 cm","8 cm","France","Eloïse","","29/06/2020","10902796"
"July 4, 2020",16,"APC","Demi-lune","261,65 €","Never worn, with tag  More infos","Leather","Grey","27 cm","17 cm","8 cm","United Kingdom","irene","Dustbag","27/06/2020","10885014"
"July 25, 2020",31,"APC","Demi-lune","180 €","Good condition  More infos","Leather","Black","24 cm","17 cm","8 cm","France","Topolino","","26/06/2020","10870010"
"April 9, 2020",36,"APC","Demi-lune","180 €","Good condition  More infos","Leather","Black","24 cm","17 cm","8 cm","Netherlands","S.","","08/04/2020","9912706"
"April 18, 2020",47,"APC","Demi-lune","256,30 €","Very good condition  More infos","Leather","Brown","24 cm","16 cm","7 cm","Denmark","christine","","07/04/2020","9905426"
"March 6, 2020",5,"APC","Demi-lune","254,27 €","Never worn, with tag  More infos","Patent leather","Black","24 cm","17 cm","8 cm","United Kingdom","celine","","06/03/2020","9597184"
"March 31, 2020",5,"APC","Demi-lune","158 €","Very good condition  More infos","Leather","Navy","24 cm","17 cm","8 cm","Germany","lea","","31/03/2020","9836139"
"June 28, 2020",20,"APC","Demi-lune","148,71 €","Never worn  More infos","Leather","Green","19 cm","14 cm","6 cm","Hong Kong","serene","Dustbag","22/06/2020","10817621"
"July 24, 2020",46,"APC","Demi-lune","215 €","Very good condition  More infos","Leather","Brown","23,50 cm","20 cm","7 cm","France","Salma","","22/06/2020","10819305"
"June 28, 2020",15,"APC","Demi-lune","225,21 €","Very good condition  More infos","Leather","Black","24 cm","20 cm","6 cm","Singapore","Sharlyn","","21/06/2020","10811382"
"June 12, 2020",4,"APC","Genève","190 €","Very good condition  More infos","Leather","Brown","24 cm","16,5 cm","4,5 cm","France","pc","Dustbag","11/06/2020","10677377"
"June 17, 2020",0,"APC","Demi-lune","200 €","Very good condition  More infos","Leather","Camel","8 cm","17 cm","24 cm","France","Sylvie","","17/06/2020","10742161"
"April 26, 2020",102,"APC","Demi-lune","250 €","Very good condition  More infos","Leather","Blue","24 cm","17 cm","8 cm","Netherlands","bella","","18/03/2020","9742354"
"June 23, 2020",29,"APC","Demi-lune","220 €","Very good condition  More infos","Leather","Black","24 cm","18 cm","8 cm","Germany","Marisa","Dustbag","19/06/2020","10797376"
"April 18, 2020",21,"APC","Demi-lune","149 €","Good condition  More infos","Leather","Other","24 cm","17 cm","5 cm","France","anne","","17/04/2020","10002228"
"July 26, 2020",5,"APC",NA,"60 €","Very good condition  More infos","Cotton","Other","34 cm","59 cm","15,5 cm","France","Latifa","","22/07/2020","11168270"
"June 14, 2020",1,"APC","Demi-lune","250 €","Very good condition  More infos","Leather","Other","24 cm","17 cm","7,5 cm","Italy","luxury","","13/06/2020","10703507"
"March 6, 2020",43,"APC","Demi-lune","266,10 €","Very good condition  More infos","Leather","Black","17 cm","24 cm","8 cm","United Kingdom","lucy","Dustbag","03/03/2020","9611307"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"March 11, 2020",86,"APC","Demi-lune","195 €","Never worn  More infos","Leather","Beige","24 cm","17 cm","8 cm","Portugal","olivia","","02/03/2020","9585460"
"February 29, 2020",8,"APC","Demi-lune","150 €","Good condition  More infos","Leather","Black","24 cm","17 cm","8 cm","Germany","svea","","28/02/2020","9576341"
"July 10, 2020",6,"APC",NA,"184,71 €","Never worn, with tag  More infos","Suede","Camel","24 cm","17 cm","5.5 cm","United Kingdom","ophelia","","09/07/2020","10936935"
"March 9, 2020",38,"APC","Demi-lune","190 €","Never worn, with tag  More infos","Leather","Pink","17 cm","24 cm","8 cm","Poland","Monika","","06/03/2020","9638525"
"March 6, 2020",24,"APC",NA,"35 €","Never worn, with tag  More infos","Cotton","Beige","44.57 cm","33.5 cm","14.5 cm","France","jaewoo","","01/03/2020","9596402"
"February 21, 2020",39,"APC","Demi-lune","216,15 €","Very good condition  More infos","Leather","Pink","23.9 cm","18.8 cm","8.4 cm","United Kingdom","debby","","16/02/2020","9467357"
"June 7, 2020",19,"APC","Demi-lune","133,25 €","Very good condition  More infos","Leather","Beige","24 cm","19 cm","8 cm","Denmark","Christine","","05/06/2020","10599715"
"June 11, 2020",7,"APC","Demi-lune","86,41 €","Fair condition  More infos","Leather","Black","24.2 cm","19.7 cm","8.5 cm","United Kingdom","Xie","","10/06/2020","10670172"
"February 13, 2020",26,"APC","Demi-lune","199 €","Very good condition  More infos","Leather","Black","24 cm","18 cm","7 cm","Netherlands","Neel","","10/02/2020","9415659"
"May 16, 2020",27,"APC",NA,"70 €","Very good condition  More infos","Wicker","Beige","22 cm","23 cm","22 cm","France","julia","","15/05/2020","10361830"
"June 1, 2020",10,"APC","Demi-lune","200 €","Very good condition  More infos","Leather","Brown","24 cm","17 cm","8 cm","France","Bettina","Dustbag","30/05/2020","10537033"
"February 4, 2020",5,"APC","Demi-lune","111,68 €","Fair condition  More infos","Leather","Black","17 cm","24 cm","8 cm","Australia","claire","","03/02/2020","9348611"
"January 23, 2020",15,"APC","Demi-lune","230 €","Good condition  More infos","Leather","Black","19 cm","14 cm","8 cm","Belgium","bieke","Dustbag","23/01/2020","9255281"
"June 15, 2020",5,"APC","Demi-lune","150 €","Never worn  More infos","Exotic leathers","Orange","24 cm","17 cm","8 cm","France","Kristina","","13/06/2020","10703938"
"January 21, 2020",27,"APC","Demi-lune","240 €","Very good condition  More infos","Leather","Red","24 cm","17 cm","8 cm","Portugal","olivia","","17/01/2020","9209450"
"May 28, 2020",7,"APC","Demi-lune","251,69 €","Very good condition  More infos","Leather","Brown","24.1 cm","17.8 cm","7.6 cm","United Kingdom","t","","27/05/2020","10503674"
"June 10, 2020",56,"APC","Genève","250 €","Very good condition  More infos","Leather","Blue","24 cm","18 cm","8 cm","France","Topolino","","14/05/2020","10349875"
"July 16, 2020",26,"APC","Ella","250 €","Very good condition  More infos","Leather","Black","30 cm","21 cm","7 cm","Germany","Clara","","09/07/2020","11011205"
"May 28, 2020",35,"APC","Genève","180,45 €","Good condition  More infos","Leather","Black","24 cm","18 cm","8 cm","Hong Kong","sandy","Dustbag","25/05/2020","10475521"
"January 14, 2020",42,"APC","Demi-lune","230 €","Very good condition  More infos","Leather","Black","19 cm","14 cm","8 cm","Belgium","bieke","","09/01/2020","9140062"
"July 3, 2020",36,"APC","Demi-lune","249 €","Good condition  More infos","Leather","Green","24 cm","17 cm","8 cm","Italy","Marta","","30/05/2020","10535138"
"June 17, 2020",112,"APC","Demi-lune","95,70 €","Fair condition  More infos","Leather","Black","24 cm","18 cm","7 cm","Hong Kong","M","","30/05/2020","10532146"
"June 2, 2020",15,"APC","Demi-lune","150 €","Very good condition  More infos","Leather","Khaki","15 cm","19.5 cm","7.5 cm","Netherlands","Esther","","24/05/2020","10467417"
"May 24, 2020",14,"APC","Demi-lune","228,89 €","Never worn  More infos","Leather","Burgundy","23.9 cm","18 cm","8.4 cm","United Kingdom","sabine","","23/05/2020","10458404"
"June 21, 2020",29,"APC","Demi-lune","210,64 €","Good condition  More infos","Leather","Brown","24 cm","17 cm","8 cm","Germany","Karin","","31/05/2020","10537916"
"May 22, 2020",7,"APC","Demi-lune","150 €","Very good condition  More infos","Leather","Beige","24 cm","19 cm","8 cm","Germany","sophia","","21/05/2020","10433316"
"February 12, 2020",50,"APC","Demi-lune","216,05 €","Good condition  More infos","Leather","Grey","24 cm","17 cm","8 cm","Denmark","L","","14/01/2020","9169446"
"February 22, 2020",47,"APC","Demi-lune","192,70 €","Good condition  More infos","Leather","Brown","24 cm","17 cm","8 cm","United Kingdom","natalie","","24/01/2020","9271087"
"June 2, 2020",12,"APC","Demi-lune","190 €","Good condition  More infos","Patent leather","Black","28 cm","18 cm","7 cm","Germany","Marjenn","","30/05/2020","10531225"
"May 21, 2020",14,"APC","Demi-lune","208,75 €","Never worn  More infos","Leather","Camel","24 cm","17 cm",NA,"Sweden","Ekaterina","","18/05/2020","10394919"
"January 24, 2020",9,"APC","Demi-lune","188,53 €","Very good condition  More infos","Leather","Brown","24 cm","17 cm","8 cm","Hong Kong","chow","","21/01/2020","9241112"
"February 1, 2020",29,"APC","Demi-lune","210 €","Very good condition  More infos","Leather","Pink","23 cm","16.5 cm","7.5 cm","Finland","Susanna","Dustbag","21/01/2020","9237672"
"June 6, 2020",5,"APC","Demi-lune","169,60 €","Good condition  More infos","Leather","Brown","68.6 cm","45.7 cm","20.3 cm","United Kingdom","zoe","","06/06/2020","10613560"
"January 20, 2020",8,"APC","Demi-lune","154,42 €","Good condition  More infos","Leather","Black","24 cm","17 cm","8 cm","Hong Kong","chow","","20/01/2020","9222899"
"June 8, 2020",32,"APC",NA,"220 €","Very good condition  More infos","Patent leather","Green","24 cm","17 cm","8 cm","Germany","Henrike","Dustbag","29/04/2020","10161515"
"December 27, 2019",46,"APC","Demi-lune","240 €","Very good condition  More infos","Leather","Red","24 cm","17 cm","8 cm","Portugal","olivia","","11/12/2019","8936667"
"July 30, 2020",53,"APC","Demi-lune","265 €","Good condition  More infos","Leather","Multicolour","24 cm","17 cm","8 cm","Netherlands","lauren","Dustbag ,Card or certificate","18/05/2020","10387698"
"May 11, 2020",4,"APC","Demi-lune","200 €","Never worn, with tag  More infos","Leather","Black","19 cm","18 cm",NA,"Belgium","Lien","","11/05/2020","10308178"
"May 19, 2020",18,"APC","Demi-lune","85 €","Fair condition  More infos","Leather","Black","24 cm","17 cm","8 cm","Italy","veronica","","16/05/2020","10373661"
"May 12, 2020",21,"APC","Demi-lune","250 €","Good condition  More infos","Leather","Black","19 cm","18 cm",NA,"France","Laurie","","07/05/2020","10221968"
"December 2, 2019",83,"APC","Demi-lune","190 €","Good condition  More infos","Leather","Black","24 cm","20 cm","6 cm","Italy","Giulia","","20/11/2019","8679824"
"November 29, 2019",37,"APC","Demi-lune","310 €","Very good condition  More infos","Leather","Burgundy","17 cm","24 cm","8 cm","France","Anne","","18/11/2019","8741789"
"November 15, 2019",15,"APC","Demi-lune","245 €","Very good condition  More infos","Leather","Brown","24 cm","18 cm","8,5 cm","Belgium","sandra","","14/11/2019","8711549"
"July 18, 2020",5,"APC","Genève","340 €","Very good condition  More infos","Leather","Black",NA,NA,NA,"Germany","viteenvogue","","18/07/2020","11128510"
"March 12, 2020",3,"APC",NA,"185 €","Never worn  More infos","Leather","Black","22 cm","13 cm","5 cm","Germany","Nadine","","12/03/2020","9694625"
"May 10, 2020",21,"APC","Demi-lune","195,12 €","Good condition  More infos","Leather","Black","22.9 cm","17.8 cm","7.6 cm","Hong Kong","chow","Dustbag","02/05/2020","10195333"
"November 27, 2019",49,"APC","Demi-lune","137,52 €","Very good condition  More infos","Leather","Navy","24.1 cm","20.3 cm","7.6 cm","United Kingdom","amy","","20/11/2019","8762319"
"May 14, 2020",16,"APC","Demi-lune","153,75 €","Good condition  More infos","Leather","Brown","23.9 cm","17 cm","7.9 cm","United States","shai","","10/05/2020","10284384"
"December 8, 2019",24,"APC","Demi-lune","185 €","Good condition  More infos","Leather","Black","24 cm","18 cm","3 cm","France","joelle","Dustbag","07/12/2019","8909552"
"May 19, 2020",38,"APC","Demi-lune","230,80 €","Very good condition  More infos","Leather","Navy","24 cm","17 cm","8 cm","Belgium","ari","Dustbag","05/05/2020","10227085"
"April 8, 2020",28,"APC",NA,"250 €","Never worn, with tag  More infos","Leather","Brown","25 cm","18 cm","6,5 cm","Netherlands","Özlem","","06/04/2020","9894734"
"December 14, 2019",69,"APC","Demi-lune","211,92 €","Good condition  More infos","Leather","Black","24.2 cm","19.1 cm","8.6 cm","Hong Kong","G","","26/11/2019","8816999"
"April 27, 2020",13,"APC","Demi-lune","230 €","Very good condition  More infos","Leather","Black","24 cm","16 cm","6 cm","Germany","Carolin","Dustbag","26/04/2020","10116205"
"May 26, 2020",79,"APC","Demi-lune","200 €","Good condition  More infos","Leather","Black","25 cm","18 cm","8 cm","Germany","Sarah","","20/04/2020","10031512"
"March 9, 2020",25,"APC",NA,"225 €","Very good condition  More infos","Leather","Black","71.1 cm","48.3 cm","22.9 cm","France","Francesca","Dustbag","09/03/2020","9666878"
"June 19, 2020",8,"APC",NA,"180 €","Very good condition  More infos","Leather","Navy","24 cm","18 cm","8 cm","France","Sylvie","","17/06/2020","10742304"
"October 1, 2019",6,"APC","Demi-lune","150 €","Good condition  More infos","Leather","Black","17 cm","24 cm","8 cm","Finland","Anna","Dustbag","30/09/2019","8338879"
"November 7, 2019",8,"APC","Demi-lune","150 €","Good condition  More infos","Leather","Brown","23 cm","18 cm","8.5 cm","France","Aporia","Dustbag","07/11/2019","8644170"
"February 27, 2020",14,"APC",NA,"100 €","Never worn  More infos","Leather","Black","17 cm","17 cm","6 cm","France","Nicole","Dustbag","27/02/2020","9566855"
"April 17, 2020",31,"APC","Demi-lune","195 €","Never worn  More infos","Leather","Beige","24 cm","17 cm","8 cm","France","Vestiaire Collective","","16/04/2020","9991606"
"May 15, 2020",1,"APC",NA,"65 €","Good condition  More infos","Cotton","Khaki","35,50 cm","33 cm",NA,"France","Latifa","","14/05/2020","10350459"
"May 8, 2020",18,"APC",NA,"120 €","Good condition  More infos","Leather","Camel","25 cm","30 cm","10 cm","Belgium","emmanuelle","","07/05/2020","10255819"
"September 11, 2019",19,"APC","Demi-lune","216,72 €","Very good condition  More infos","Leather","Black","22 cm","20 cm",NA,"Singapore","Debra","","09/09/2019","8185928"
"March 27, 2020",9,"APC",NA,"112,75 €","Very good condition  More infos","Leather","Pink","24.5 cm","17 cm","7 cm","Hong Kong","c","","27/03/2020","9806051"
"September 12, 2019",14,"APC","Demi-lune","229 €","Good condition  More infos","Leather","Camel","24 cm","17 cm","8 cm","Netherlands","lene","","11/09/2019","8199506"
"February 23, 2020",71,"APC",NA,"153,75 €","Very good condition  More infos","Leather","Black","25 cm","17 cm","8 cm","United Kingdom","Shelly","","20/02/2020","9507493"
"April 5, 2020",8,"APC","Demi-lune","247 €","Never worn, with tag  More infos","Leather","Black","24 cm","17 cm","8 cm","Netherlands","Özlem","","04/04/2020","9880678"
"April 8, 2020",19,"APC",NA,"245 €","Good condition  More infos","Leather","Black","20 cm","26 cm","8 cm","Lithuania","Kotryna","","07/04/2020","9908167"
"April 19, 2020",42,"APC",NA,"210 €","Very good condition  More infos","Leather","Black","43 cm","25 cm","15 cm","Italy","mb","","15/03/2020","9726678"
"August 7, 2019",11,"APC","Demi-lune","199 €","Very good condition  More infos","Leather","Camel","24 cm","17 cm","5 cm","Netherlands","wai-ling","","06/08/2019","7996405"
"March 30, 2020",15,"APC","Demi-lune","250 €","Very good condition  More infos","Leather","Grey","24 cm","18 cm","8 cm","Germany","Anna","Dustbag","29/03/2020","9822971"
"March 21, 2020",57,"APC",NA,"148,09 €","Never worn, with tag  More infos","Leather","Burgundy","25 cm","20 cm","4 cm","Hong Kong","c","","06/03/2020","9639288"
"August 9, 2019",91,"APC","Demi-lune","239,25 €","Good condition  More infos","Leather","Black","24.2 cm","19.7 cm","8.5 cm","Hong Kong","I","","19/07/2019","7906279"
"April 19, 2020",15,"APC","Demi-lune","170,36 €","Good condition  More infos","Leather","Black","24 cm","18 cm","7 cm","Hong Kong","chow","","15/04/2020","9977906"
"April 26, 2020",61,"APC","Demi-lune","221,42 €","Never worn, with tag  More infos","Leather","Black","23 cm","17 cm","8 cm","Australia","Vanessa","Dustbag","16/03/2020","9711401"
"June 3, 2020",10,"APC",NA,"251,98 €","Very good condition  More infos","Leather","Black","32 cm","23 cm","11.5 cm","France","Vestiaire Collective","Dustbag","02/06/2020","10564396"
"June 3, 2020",2,"APC","Ella","400 €","Never worn  More infos","Leather","Black","30 cm","21 cm","7 cm","Portugal","olivia","","03/06/2020","10566289"
"July 2, 2020",5,"APC",NA,"90 €","Very good condition  More infos","Polyester","Multicolour","25 cm","10 cm",NA,"Netherlands","marianna","","25/06/2020","10856937"
"March 15, 2020",22,"APC","Demi-lune","215,20 €","Never worn  More infos","Leather","Burgundy","27.5 cm","18.5 cm","8.2 cm","United Kingdom","sabine","","11/03/2020","9692982"
"January 13, 2020",4,"APC",NA,"260 €","Very good condition  More infos","Leather","Black","30 cm","24 cm","10 cm","France","lili","","10/01/2020","9144095"
"March 17, 2020",39,"APC","Demi-lune","270 €","Very good condition  More infos","Leather","Burgundy","17 cm","24 cm","8 cm","France","Nabema","","13/03/2020","9684833"
"March 8, 2020",7,"APC","Demi-lune","265 €","Very good condition  More infos","Leather","Black","24 cm","17 cm","8 cm","France","Topolino","","08/03/2020","9658876"
"March 9, 2020",6,"APC","Demi-lune","244 €","Very good condition  More infos","Leather","Brown","24 cm","18 cm","8 cm","Germany","franziska","","08/03/2020","9660368"
"August 13, 2019",29,"APC","Demi-lune","215,47 €","Good condition  More infos","Leather","Black","24 cm","17 cm","8 cm","Sweden","calvin","Dustbag","11/08/2019","8018712"
"February 28, 2020",15,"APC",NA,"139 €","Very good condition  More infos","Leather","Multicolour","29 cm","19 cm","7 cm","France","Topolino","","27/02/2020","9563626"
"July 5, 2020",11,"APC","Ella","155 €","Fair condition  More infos","Leather","Black","29 cm","22 cm","6.5 cm","Germany","susanne","","22/06/2020","10826016"
"June 12, 2020",10,"APC",NA,"95 €","Very good condition  More infos","Leather","Blue","22 cm","13 cm","5 cm","France","Amélie","","02/06/2020","10559374"
"June 9, 2020",22,"APC",NA,"252,88 €","Never worn, with tag  More infos","Leather","Blue","24 cm","19 cm","8 cm","United Kingdom","Kate","","01/06/2020","10555547"
"May 4, 2020",2,"APC",NA,"200 €","Never worn  More infos","Leather","Black","25 cm","15 cm","6 cm","France","Louise","","04/05/2020","10208789"
"June 2, 2020",18,"APC","Genève","260 €","Very good condition  More infos","Leather","Brown","24 cm","18 cm","8 cm","Italy","laura","","30/05/2020","10523657"
"September 11, 2019",22,"APC","Demi-lune","219 €","Good condition  More infos","Patent leather","Black","24 cm","18 cm","8 cm","France","nadia","Dustbag","08/09/2019","8177267"
"December 28, 2019",19,"APC",NA,"137,86 €","Very good condition  More infos","Leather","Camel","8 cm","18 cm",NA,"Israel","luba","Dustbag","26/12/2019","9041316"
"June 25, 2020",58,"APC",NA,"229 €","Very good condition  More infos","Leather","Black","40 cm","26 cm","16 cm","Germany","Saskia","","08/05/2020","10251372"
"February 7, 2020",12,"APC","Demi-lune","100 €","Good condition  More infos","Leather","Black","23,5 cm","17 cm","7 cm","France","luana","","06/02/2020","9383701"
"February 10, 2020",6,"APC","Demi-lune","235 €","Never worn, with tag  More infos","Leather","Black","24 cm","17 cm","8 cm","Netherlands","gabriella","Dustbag","10/02/2020","9415879"
"February 8, 2020",30,"APC","Demi-lune","230 €","Good condition  More infos","Leather","Black","24 cm","18 cm","7.5 cm","France","Vestiaire Collective","Dustbag","07/02/2020","9392502"
"February 5, 2020",0,"APC","Demi-lune","180 €","Very good condition  More infos","Leather","Brown","24 cm","18 cm",NA,"Austria","victoria","","05/02/2020","9366576"
"March 1, 2020",31,"APC",NA,"165 €","Good condition  More infos","Leather","Navy","27 cm","21 cm","8 cm","France","nathalie","Dustbag","12/02/2020","9432196"
"February 4, 2020",4,"APC","Demi-lune","250 €","Very good condition  More infos","Leather","Brown","24 cm","17 cm","8 cm","France","Julie","","03/02/2020","9346599"
"February 2, 2020",8,"APC","Demi-lune","190 €","Very good condition  More infos","Leather","Brown","17 cm","24 cm","8 cm","France","catherine","","01/02/2020","9332010"
"February 24, 2020",8,"APC","Demi-lune","180 €","Good condition  More infos","Leather","Brown","24 cm","17 cm","8 cm","Germany","Ann-Kristin","Dustbag","23/02/2020","9531334"
"March 5, 2020",67,"APC","Demi-lune","215 €","Good condition  More infos","Leather","Beige","24 cm","17 cm","8 cm","France","marlène","","20/02/2020","9496918"
"January 20, 2020",48,"APC",NA,"360 €","Very good condition  More infos","Leather","Black","28 cm","19 cm","10 cm","France","Marion","Dustbag","02/01/2020","9083420"
"July 24, 2020",14,"APC",NA,"85 €","Never worn, with tag  More infos","Denim - Jeans","Blue","44 cm","36 cm","14 cm","France","Latifa","","27/05/2020","10500282"
"June 17, 2020",4,"APC",NA,"100,52 €","Good condition  More infos","Denim - Jeans","Blue","39 cm","40 cm","14 cm","Sweden","Susan","","15/06/2020","10726178"
"May 11, 2020",26,"APC","Genève","190 €","Very good condition  More infos","Leather","Navy","24 cm","17 cm","8 cm","Germany","veronika","","08/05/2020","10277535"
"June 9, 2020",11,"APC","Ella","220 €","Good condition  More infos","Leather","Black","30 cm","21 cm","7 cm","Germany","susanne","","27/05/2020","10485021"
"December 3, 2019",20,"APC",NA,"200 €","Very good condition  More infos","Leather","Grey","39 cm","28 cm","13 cm","France","Pauline","","25/11/2019","8762071"
"February 9, 2020",15,"APC","Demi-lune","150 €","Good condition  More infos","Leather","Brown","24 cm","18 cm","7 cm","Italy","Maria","Dustbag","08/02/2020","9399416"
"February 17, 2020",9,"APC","Demi-lune","117,03 €","Fair condition  More infos","Leather","Brown","19.1 cm","24.2 cm","8.6 cm","United Kingdom","Shasha","","16/02/2020","9463308"
"June 22, 2020",10,"APC",NA,"52,10 €","Good condition  More infos","Polyester","Blue","20.3 cm","94 cm","76.2 cm","United Kingdom","hilla","","07/06/2020","10620098"
"February 1, 2020",2,"APC","Demi-lune","220 €","Very good condition  More infos","Leather","Brown","24 cm","17 cm","8 cm","Germany","Tanja","","01/02/2020","9333629"
"May 10, 2020",12,"APC",NA,"159,94 €","Never worn, with tag  More infos","Leather","Yellow","24 cm","19 cm",NA,"France","Jihane","Dustbag","06/05/2020","10245997"
"May 20, 2020",22,"APC",NA,"276,75 €","Never worn, with tag  More infos","Leather","Blue","25.4 cm","17.8 cm","8.9 cm","United Kingdom","Kate","","04/05/2020","10215946"
"May 19, 2020",9,"APC","Genève","140 €","Good condition  More infos","Leather","Brown","24 cm","17 cm","8 cm","Finland","ellen","","18/05/2020","10394734"
"May 27, 2020",47,"APC",NA,"131,53 €","Never worn  More infos","Other","Black","35 cm","7 cm","20 cm","Singapore","yan","","17/02/2020","9474719"
"January 12, 2020",36,"APC","Demi-lune","142,80 €","Good condition  More infos","Leather","Burgundy","24.2 cm","18.3 cm","8.3 cm","Hong Kong","Kiu","Dustbag","10/01/2020","9142230"
"October 10, 2019",15,"APC",NA,"249,83 €","Very good condition  More infos","Leather","Beige","28 cm","19 cm","7 cm","France","Alexandra","Dustbag ,Card or certificate","09/10/2019","8408407"
"November 29, 2019",3,"APC","Demi-lune","168,47 €","Good condition  More infos","Leather","Black","23.5 cm","17.8 cm","6.4 cm","United Kingdom","Nicola","Dustbag","29/11/2019","8845141"
"January 21, 2020",32,"APC",NA,"220 €","Good condition  More infos","Leather","Black","29 cm","23 cm",NA,"France","Lucile","","10/01/2020","9147774"
"May 30, 2020",28,"APC",NA,"141,95 €","Very good condition  More infos","Leather","Red","24 cm","19 cm","5 cm","United States","Yvonne","","13/05/2020","10330384"
"November 22, 2019",65,"APC","Demi-lune","180 €","Good condition  More infos","Leather","Black","17 cm","24 cm","8 cm","Switzerland","noelia","","16/11/2019","8719671"
"April 9, 2020",53,"APC","Demi-lune","120 €","Fair condition  More infos","Leather","Black","25 cm","15 cm","5 cm","Italy","veronica","","09/12/2019","8920083"
"November 23, 2019",13,"APC","Demi-lune","149,02 €","Good condition  More infos","Leather","Navy","23 cm","18 cm","6 cm","United Kingdom","katie","","22/11/2019","8778807"
"November 24, 2019",24,"APC",NA,"73,91 €","Good condition  More infos","Leather","Black","31 cm","17 cm","14 cm","United Kingdom","margot","Dustbag","23/11/2019","8787943"
"November 15, 2019",10,"APC","Demi-lune","165 €","Good condition  More infos","Leather","Camel","20 cm","10 cm",NA,"France","Bérénice","","15/11/2019","8713067"
"November 12, 2019",6,"APC","Demi-lune","200 €","Very good condition  More infos","Leather","Camel","26 cm","20 cm","8 cm","France","Caroline","","12/11/2019","8684744"
"December 3, 2019",4,"APC",NA,"200 €","Very good condition  More infos","Leather","Brown","25 cm","35 cm","15 cm","Netherlands","Tingting","","03/12/2019","8875158"
"May 19, 2020",0,"APC",NA,"240 €","Good condition  More infos","Leather","Blue","27 cm","20 cm","8 cm","Belgium","Valentina","Dustbag","19/05/2020","10405590"
"April 24, 2020",21,"APC",NA,"240,97 €","Never worn, with tag  More infos","Leather","Brown","15 cm","19.5 cm","7.5 cm","United Kingdom","Joanne","","16/04/2020","9984452"
"May 1, 2020",5,"APC",NA,"89,33 €","Very good condition  More infos","Denim - Jeans","Blue","45 cm","35 cm",NA,"Denmark","Dinne","","30/04/2020","10168654"
"November 13, 2019",25,"APC","Demi-lune","175 €","Very good condition  More infos","Leather","Pink","26 cm","16 cm","6 cm","France","stéphane","Dustbag","10/11/2019","8665586"
"December 27, 2019",56,"APC",NA,"297,25 €","Very good condition  More infos","Leather","Burgundy",NA,NA,NA,"United Kingdom","amelie","","14/11/2019","8697835"
"November 30, 2019",11,"APC","Demi-lune","150 €","Good condition  More infos","Leather","Brown","24 cm","17 cm","7 cm","France","paola","","30/11/2019","8847469"
"September 24, 2019",19,"APC",NA,"170 €","Very good condition  More infos","Leather","Camel","24 cm","19 cm","8 cm","Spain","lola","","21/09/2019","8267725"
"September 24, 2019",16,"APC",NA,"226,39 €","Very good condition  More infos","Leather","Brown","15 cm","26 cm","24 cm","United Kingdom","Stephanie","","17/09/2019","8230955"
"April 25, 2020",19,"APC",NA,"190 €","Very good condition  More infos","Leather","Green","19 cm","13 cm","9 cm","Netherlands","Mariska","","23/04/2020","10076628"
"December 7, 2019",25,"APC","Demi-lune","229,39 €","Very good condition  More infos","Leather","Blue","24 cm","18 cm","8 cm","United Kingdom","simone","","30/11/2019","8852412"
"October 17, 2019",54,"APC","Demi-lune","173,29 €","Good condition  More infos","Leather","Black","23.9 cm","18 cm","7.9 cm","United Kingdom","mia","","12/10/2019","8416738"
"April 1, 2020",19,"APC",NA,"250 €","Very good condition  More infos","Leather","Navy","24 cm","16 cm","8 cm","France","Meek","","21/03/2020","9765973"
"November 6, 2019",15,"APC","Demi-lune","139,35 €","Fair condition  More infos","Leather","Black","24.1 cm","19.1 cm","7.6 cm","United Kingdom","alice","Dustbag","05/11/2019","8604214"
"October 9, 2019",6,"APC","Demi-lune","250 €","Very good condition  More infos","Leather","Brown","24 cm","18 cm","8 cm","United Kingdom","esbeth","","09/10/2019","8405523"
"June 2, 2020",5,"APC",NA,"62,87 €","Fair condition  More infos","Suede","Navy","29.2 cm","24.1 cm","6.4 cm","United Kingdom","G","","23/05/2020","10448484"
"April 15, 2020",42,"APC",NA,"185 €","Never worn, with tag  More infos","Exotic leathers","Yellow","25 cm","15 cm",NA,"France","Jihane","","30/03/2020","9829581"
"October 5, 2019",25,"APC","Demi-lune","275 €","Good condition  More infos","Leather","Black","23.5 cm","19 cm","7 cm","Germany","mirjam","Dustbag","01/10/2019","7090053"
