"Date_sold","Likes","Designer","Model","Price_sold","Condition","Material","Color","Width","Height","Depth","Location","Seller","Sold_with","Online_since","Reference"
"July 8, 2020",16,"Bvlgari","Serpenti","1402,83 €","Very good condition  More infos","Patent leather","Metallic","16 cm","18 cm","9.5 cm","Hong Kong","angela","","20/05/2020","10393217"
"April 19, 2020",20,"Bvlgari","Serpenti","1070 €","Never worn  More infos","Leather","Yellow","19 cm","15 cm","5 cm","France","sheherazade","","14/04/2020","9963168"
"April 29, 2020",17,"Bvlgari","Serpenti","1399,40 €","Never worn  More infos","Leather","Beige","27 cm","19 cm","8 cm","Switzerland","Lucie","","27/04/2020","10120742"
"May 5, 2020",57,"Bvlgari","Serpenti","1200 €","Never worn  More infos","Leather","Beige","19,5 cm","15 cm","4 cm","Germany","alice","","24/04/2020","10088798"
"April 20, 2020",26,"Bvlgari","Serpenti","490 €","Very good condition  More infos","Leather","Green",NA,NA,NA,"Italy","Xiaofeng","","18/04/2020","10002766"
"January 30, 2020",134,"Bvlgari","Serpenti","620,97 €","Very good condition  More infos","Leather","Brown","25.5 cm","19 cm","7 cm","Hong Kong","beth","Dustbag","20/08/2019","7952413"
"April 29, 2020",81,"Bvlgari","Serpenti","1350 €","Never worn  More infos","Leather","Green","15 cm","20 cm","3.5 cm","Netherlands","Lyneke","Dustbag ,Card or certificate","01/04/2020","9848287"
"June 18, 2020",24,"Bvlgari","Serpenti","890 €","Never worn  More infos","Leather","Yellow","19 cm","11,5 cm","4,5 cm","France","valentine","","14/03/2020","9710359"
"April 19, 2020",41,"Bvlgari","Serpenti","802,26 €","Very good condition  More infos","Leather","Beige","22 cm","14 cm",NA,"United States","sandra","","24/03/2020","9784394"
"May 10, 2020",30,"Bvlgari","Serpenti","950 €","Very good condition  More infos","Leather","Blue","27 cm","19 cm","8 cm","Italy","francesca","","24/04/2020","10088682"
"May 14, 2020",37,"Bvlgari","Serpenti","700 €","Never worn  More infos","Leather","White","19 cm","11,5 cm","4,5 cm","Spain","NinaUC","","10/04/2020","9923286"
"April 8, 2020",3,"Bvlgari","Serpenti","850 €","Very good condition  More infos","Leather","Burgundy","25 cm","20 cm","7 cm","Italy","Angelo","","06/04/2020","9889712"
"June 26, 2020",38,"Bvlgari","Serpenti","2435,40 €","Never worn, with tag  More infos","Exotic leathers","Pink","28 cm","20 cm","8 cm","United Kingdom","Alison","","12/05/2020","10306566"
"June 14, 2020",14,"Bvlgari","Serpenti","1150 €","Very good condition  More infos","Exotic leathers","Pink","17 cm","18 cm","11 cm","France","Roxanne","","15/05/2020","10367218"
"June 11, 2020",12,"Bvlgari","Serpenti","590 €","Very good condition  More infos","Leather","Burgundy","29 cm","22 cm","13 cm","Romania","creditamanet","","11/06/2020","10664103"
"March 21, 2020",23,"Bvlgari","Serpenti","431,94 €","Very good condition  More infos","Leather","Green","25 cm","12 cm",NA,"Hong Kong","Deon","","20/03/2020","9750920"
"June 20, 2020",36,"Bvlgari","Serpenti","988,39 €","Fair condition  More infos","Leather","White","15 cm","24.1 cm","7.1 cm","United States","christie","","12/05/2020","10315461"
"June 16, 2020",7,"Bvlgari","Serpenti","1007,49 €","Very good condition  More infos","Leather","Blue","18.5 cm","15.5 cm","10 cm","Hong Kong","Allu","Dustbag","15/06/2020","10721376"
"April 2, 2020",68,"Bvlgari","Serpenti","1400 €","Very good condition  More infos","Leather","White","18.5 cm","13 cm","6.5 cm","France","Nina","Dustbag ,Original box ,Card or certificate","05/03/2020","9539524"
"April 20, 2020",49,"Bvlgari","Serpenti","850 €","Good condition  More infos","Leather","Green","29,5 cm","21,5 cm","10 cm","Switzerland","Philippine","","10/04/2020","9932411"
"March 2, 2020",30,"Bvlgari","Serpenti","299,53 €","Never worn  More infos","Leather","Green","27 cm","20 cm","7 cm","Hong Kong","sau","","02/03/2020","9602528"
"April 12, 2020",60,"Bvlgari","Serpenti","750 €","Very good condition  More infos","Patent leather","Silver","19 cm","12 cm","5 cm","France","valentine","Dustbag","14/03/2020","9710264"
